"Informazioni cronologiche","Quanti anni hai?","Ritieni utile un'app per il cellulare che consenta di trovare la bottiglia giusta da abbinare a ciò che mangi?","Hai mai usato un' applicazione a tema ""vino""?","Che livello di familiarità ritieni di avere con le applicazioni di questo tipo?","Quale Sistema Operativo ha il tuo telefono?","Quale di queste definizioni si avvicina di più a te?","Quali fra le seguenti opzioni influenza di più la tua scelta nella ricerca del vino?","Seguiresti i consigli forniti dall'app?","Quanto ritieni utile poter leggere le recensioni da parte di altri utenti?","Quanto ritieni utile che l'applicazione tenga conto dei tuoi gusti personali per fornirti consigli?","Quanto spesso utilizzeresti una applicazione di questo tipo?","Quale tra le seguenti opzioni ritieni più importante?","Per quale delle due opzioni utilizzeresti di più questa applicazione? ","Riterresti utile la possibilità di creare una lista di amici così da vedere i loro suggerimenti e recensioni?","Questo è un primo prototipo di come sarà l'app. Ritieni chiara l'interfaccia?","Quanto spesso i clienti hanno bisogno di un consiglio per scegliere il vino più adatto a loro?","In base alla tua esperienza cosa incide maggiormente nella scelta del vino da parte di un cliente?","Quanto è costoso ottenere oggi una profilazione accurata dei consumatori nella tua zona?","Cosa ritieni più importante?","Nel caso un utente esprima una preferenza su un vino presente nella tua cantina, quanto saresti interessato a comparire tra i suggerimenti dei punti vendita segnalati dall'app?","Quanto ti sarebbe utile per te un sistema facilmente fruibile per ottenere dati sulle vendite delle bottiglie nella tua zona?","Saresti interessato nel vendere bottiglie con servizi a domicilio? (es.: Foodracers, Just Eat)?","Preferisci che il servizio offerto dall'applicazione sia gratuito, ma con inserzioni pubblicitarie oppure che sia a pagamento, ma privo di pubblicità?","Questo è un primo prototipo di come sarà l'app. Ritieni chiara l'interfaccia?","Quanto è probabile che consiglieresti questa applicazione ad un tuo amico o conoscente?","Hai qualche suggerimento?"
"2020/11/22 1:01:55 PM CET","18-24","4","No","1","iOS","Consumatore","Costo","4","4","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","2","1","","","","","","","","","","8",""
"2020/11/22 1:02:45 PM CET","18-24","4","No","2","iOS","Consumatore","Tipologia","3","3","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","2","3","","","","","","","","","","7","Non mi piace l’abbinamento di colori dell’interfaccia"
"2020/11/22 1:03:32 PM CET","18-24","4","No","1","Android","Consumatore","Tipologia","4","4","4","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","3","3","","","","","","","","","","8",""
"2020/11/22 1:04:43 PM CET","18-24","4","No","1","Android","Ristoratore","","","","","","","","","","3","Luogo di provenienza","2","Maggior accuratezza dei dati (a discapito di chiarezza nella visualizzazione)","2","3","3","Gratuito, con pubblicità","2","5",""
"2020/11/22 1:06:22 PM CET","18-24","3","Sì","3","iOS","Consumatore","Costo","3","4","4","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","2","2","","","","","","","","","","3",""
"2020/11/22 1:06:45 PM CET","18-24","3","No","1","iOS","Consumatore","Costo","3","3","4","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","4","3","","","","","","","","","","8",""
"2020/11/22 1:19:29 PM CET","18-24","4","No","2","iOS","Consumatore","Tipologia","3","3","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","2","3","","","","","","","","","","7","Non mi piace l’abbinamento di colori dell’interfaccia"
"2020/11/22 1:33:41 PM CET","18-24","3","No","3","iOS","Consumatore","Tipologia","3","4","3","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per una occasione speciale","3","2","","","","","","","","","","7",""
"2020/11/22 1:59:00 PM CET","18-24","4","No","1","Android","Ristoratore","","","","","","","","","","2","Costo","4","Maggior accuratezza dei dati (a discapito di chiarezza nella visualizzazione)","4","3","3","Gratuito, con pubblicità","3","7",""
"2020/11/22 2:03:06 PM CET","18-24","3","No","1","Android","Consumatore","Costo","4","3","2","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","4","2","","","","","","","","","","6",""
"2020/11/22 2:51:27 PM CET","25-35","4","No","2","Android","Consumatore","Luogo di provenienza","3","4","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","3","3","","","","","","","","","","10","Basarsi su più informazioni possibili del consumatore, per gusto personale, costo e abbinamento del cibo"
"2020/11/22 3:17:36 PM CET","18-24","3","No","2","iOS","Consumatore","Tipologia","3","4","3","Quotidianamente","","Trovare il vino adatto per una occasione speciale","3","3","","","","","","","","","","7",""
"2020/11/22 3:18:38 PM CET","18-24","3","No","2","iOS","Consumatore","Tipologia","3","4","3","Quotidianamente","","Trovare il vino adatto per una occasione speciale","3","3","","","","","","","","","","7",""
"2020/11/22 3:34:18 PM CET","18-24","3","No","3","iOS","Consumatore","Tipologia","3","4","3","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per una occasione speciale","3","2","","","","","","","","","","7",""
"2020/11/22 5:08:32 PM CET","18-24","4","No","2","iOS","Consumatore","Tipologia","4","4","3","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per una occasione speciale","4","3","","","","","","","","","","7",""
"2020/11/23 7:49:53 AM CET","18-24","3","No","1","Android","Consumatore","Tipologia","3","3","4","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","3","3","","","","","","","","","","7",""
"2020/11/23 10:21:34 AM CET","18-24","3","No","2","iOS","Consumatore","Tipologia","3","4","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","2","3","","","","","","","","","","7",""
"2020/11/23 11:16:47 AM CET","36-50","2","Sì","3","iOS","Produttore","","","","","","","","","","3","Tipologia","4","Maggior accuratezza dei dati (a discapito di chiarezza nella visualizzazione)","4","4","3","A pagamento, senza pubblicità","3","8",""
"2020/11/23 11:18:16 AM CET","25-35","3","No","2","Android","Venditore","","","","","","","","","","4","Tipologia","3","Maggior accuratezza dei dati (a discapito di chiarezza nella visualizzazione)","4","4","4","Gratuito, con pubblicità","2","10","Rendere maggiormente chiara l'interfaccia, disponendola su più righe, senza ammassare i contenuti. Inserire grafici più esemplificativi e schematici, di modo che chiunque possa fruirne senza alcuna difficoltà di natura comprensiva. "
"2020/11/23 11:19:11 AM CET","Più di 50","3","No","1","iOS","Produttore","","","","","","","","","","4","Tipologia","4","Maggior chiarezza nella visualizzazione dei dati riguardanti i consumatori","4","4","2","Gratuito, con pubblicità","3","6","Mettere l'applicazione in lingua italiana"
"2020/11/23 11:20:37 AM CET","36-50","3","No","1","iOS","Produttore","","","","","","","","","","3","Costo","3","Maggior accuratezza dei dati (a discapito di chiarezza nella visualizzazione)","4","4","1","Gratuito, con pubblicità","2","8","Più chiara la schermata."
"2020/11/23 11:23:11 AM CET","25-35","4","Sì","4","Android","Consumatore","Luogo di provenienza","3","4","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","4","4","","","","","","","","","","8","Rendere più varie e articolate le scelte delle pietanze da abbinare"
"2020/11/23 11:51:20 AM CET","18-24","2","No","4","iOS","Consumatore","Luogo di provenienza","3","3","3","Annualmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per una occasione speciale","4","1","","","","","","","","","","2","Migliorare l’aspetto UX/persuasive design. Non è chiaro il percorso per ordinare il vino e manca la lingua italiana, che per un prodotto come il vino è d’obbligo (anche per un prototipo). "
"2020/11/23 12:08:53 PM CET","Più di 50","4","Sì","4","iOS","Consumatore","Tipologia","4","4","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","3","3","","","","","","","","","","9","Aggiungerei i dolci negli abbinamenti "
"2020/11/23 12:14:57 PM CET","Più di 50","4","Sì","4","iOS","Consumatore","Tipologia","4","4","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","3","3","","","","","","","","","","9","Aggiungerei i dolci negli abbinamenti "
"2020/11/23 12:39:44 PM CET","18-24","3","No","1","Android","Consumatore","Tipologia","4","2","2","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per una occasione speciale","4","4","","","","","","","","","","7",""
"2020/11/23 2:47:54 PM CET","18-24","2","No","3","Android","Venditore","","","","","","","","","","2","Tipologia","4","Maggior chiarezza nella visualizzazione dei dati riguardanti i consumatori","1","2","1","Gratuito, con pubblicità","3","3",""
"2020/11/23 3:54:39 PM CET","25-35","4","No","2","iOS","Consumatore","Tipologia","3","4","4","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","4","2","","","","","","","","","","8",""
"2020/11/23 4:50:44 PM CET","18-24","3","Sì","3","Android","Consumatore","Tipologia","3","4","4","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per una occasione speciale","2","3","","","","","","","","","","9",""
"2020/11/23 4:52:44 PM CET","Più di 50","2","Sì","4","Android","Ristoratore","","","","","","","","","","3","Tipologia","3","Maggior chiarezza nella visualizzazione dei dati riguardanti i consumatori","4","3","1","A pagamento, senza pubblicità","2","6",""
"2020/11/23 5:19:25 PM CET","18-24","3","No","2","iOS","Consumatore","Tipologia","3","4","3","Annualmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per una occasione speciale","4","3","","","","","","","","","","8",""
"2020/11/23 9:21:30 PM CET","25-35","4","No","2","iOS","Consumatore","Tipologia","3","4","4","Mensilmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","4","2","","","","","","","","","","8",""
"2020/11/24 8:26:04 AM CET","Più di 50","4","Sì","4","iOS","Consumatore","Tipologia","4","4","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","3","3","","","","","","","","","","9","Aggiungerei i dolci negli abbinamenti "
"2020/11/24 9:25:38 AM CET","18-24","3","No","2","iOS","Consumatore","Tipologia","3","4","3","Annualmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per una occasione speciale","4","3","","","","","","","","","","8",""
"2020/11/24 5:46:14 PM CET","36-50","3","No","1","Android","Ristoratore","","","","","","","","","","3","Luogo di provenienza","4","Maggior chiarezza nella visualizzazione dei dati riguardanti i consumatori","2","4","1","A pagamento, senza pubblicità","3","9",""
"2020/11/24 8:50:11 PM CET","18-24","4","No","1","iOS","Consumatore","Costo","4","4","4","Settimanalmente","Accuratezza della risposta fornita dall'applicazione in base ai propri gusti personali","Trovare il vino adatto per il giusto abbinamento con  delle pietanze","2","1","","","","","","","","","","8",""